index,id,roomname,subtitle,roomid,title,picbookid,picstartindex,piccnt,foot,saved
67,118,30年經典,劇集及展偶介紹-霹靂劍蹤+劍子仙跡.佛劍分說.疏樓龍宿.一劍封禪.劍雪無名.吞佛童子.東方鼎立,b4,劇集及展偶,M,2,7,,N
68,119,30年經典,劇集及展偶介紹-霹靂天啟+素還真.千葉傳奇.楓岫主人.太學主,b4,劇集及展偶,M,3,5,,N
69,120,30年經典,劇集及展偶介紹-刀龍傳說+醉飲黃龍.天刀笑劍鈍.刀無極.嘯日猋.漠刀絕塵.羅喉,b4,劇集及展偶,M,4,9,,N
70,121,30年經典,劇集及展偶介紹-轟霆劍海錄+素還真.玄同太子.赦天琴箕,b4,劇集及展偶,M,5,5,,N
71,122,30年經典,劇集及展偶介紹-(轟動武林)+綺羅生.北狗.意琦行,b4,劇集及展偶,M,6,5,,N
72,123,30年經典,劇集及展偶介紹-創神篇+赤王.燹王.閻王,b4,劇集及展偶,M,7,5,,N
73,124,30年經典,劇集及展偶介紹-仙魔鏖鋒+天跡.地冥.人覺.法儒.玉離經,b4,劇集及展偶,M,8,6,,N
74,125,30年經典,劇集及展偶介紹-戰禍邪神+素還真(正派)轟掣版+青陽子(正派)戰禍版+莫召奴(正派)戰禍版,b4,劇集及展偶,M,9,6,,N
75,126,30年經典,劇集及展偶介紹-仙魔鏖鋒II+寄曇說.一頁書(正派)仙魔版,b4,劇集及展偶,M,10,4,,N
76,127,霹靂歷史,康延齡老師製作的真人版素還真介紹,b2,真人版素還真,S,25,1,,N
77,151,名人堂,展偶介紹-素還真(異數版).風采鈴(異數版).素還真(異數婚服版).風采鈴(異數婚服版),b9,展偶介紹,M,11,3,,N
78,152,名人堂,展偶介紹-憶秋年.一步蓮華.銀鍠朱武,b9,展偶介紹,M,12,3,,N
79,153,名人堂,展偶介紹-慕少艾.墨塵音.赭杉軍,b9,展偶介紹,M,13,3,,N
80,154,名人堂,展偶介紹-戢武王.俠菩提.商清逸,b9,展偶介紹,M,14,3,,N
81,155,名人堂,展偶介紹-墨傾池.逆神暘.六禍蒼龍,b9,展偶介紹,M,15,3,,N
82,156,名人堂,展偶介紹-帝如來.鳳凰鳴.六銖衣,b9,展偶介紹,M,16,3,,N
83,157,名人堂,展偶介紹-妖后.天之佛.擎海潮,b9,展偶介紹,M,17,3,,N
84,158,名人堂,展偶介紹-.練峨眉.殷末簫.金子陵,b9,展偶介紹,M,18,3,,N
85,159,霹靂歷史,金氏世界紀錄獲獎介紹,b2,金氏紀錄,S,26,1,1334,N
86,161,魔吞十二宮,天虎令,b11,展偶介紹,S,27,1,2048,N
87,162,魔吞十二宮,玉璃猿,b11,展偶介紹,S,28,1,1334,N
88,163,魔吞十二宮,蒼鷹,b11,展偶介紹,S,29,1,1334,N
89,164,魔吞十二宮,魔劍狼,b11,展偶介紹,S,30,1,1334,N
90,165,魔吞十二宮,銀豹,b11,展偶介紹,S,31,1,1334,N
91,166,魔吞十二宮,金獅,b11,展偶介紹,S,32,1,1334,N
92,167,魔吞十二宮,燎宇鳳,b11,展偶介紹,S,33,1,1334,N
93,168,魔吞十二宮,赤龍影,b11,展偶介紹,S,34,1,1334,N
94,169,魔吞十二宮,熾風翼,b11,展偶介紹,S,35,1,1334,N
95,170,魔吞十二宮,玄武魄,b11,展偶介紹,S,36,1,1334,N
96,171,魔吞十二宮,麒麟星,b11,展偶介紹,S,37,1,2048,N
97,172,魔吞十二宮,雲中獸,b11,展偶介紹,S,38,1,1334,N
98,201,總說簽名牆,恭喜報到成功,,,AA,0,1,,N
99,202,總說簽名牆,總說簽名牆,,,AA,0,1,,N
100,203,開幕場地,開幕場地,,,AA,0,1,,N
101,204,開幕場地,開幕場地,,,AA,0,1,,N
