index,id,dataid,roomname,subtitle,roomid,title,saved,s1,s2,link
38,88,88,三十年經典,三十年經典,b4,30年經典,N,Y,Y,https://pililcr.weebly.com/tp88.html
39,89,89,霹靂歷史,霹靂歷史,b2,霹靂歷史,N,Y,N,https://pililcr.weebly.com/tp89.html
41,90,90,魔吞十二宮入口牆,魔吞十二宮,b11,魔吞12宮,N,Y,Y,https://pililcr.weebly.com/tp90.html
42,91,91,魔吞十二宮,設計師-吳日云,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp91.html
43,92,92,魔吞十二宮,設計師-甫月,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp92.html
44,93,93,魔吞十二宮,設計師-潘怡良,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp93.html
45,94,94,魔吞十二宮,設計師-康延齡,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp94.html
46,95,95,魔吞十二宮,設計師-汪俐伶,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp95.html
47,96,96,魔吞十二宮,設計師-陳科維,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp96.html
48,97,97,魔吞十二宮,設計師-簡國彥,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp97.html
49,98,98,魔吞十二宮,設計師-李令言,b11,設計師,N,Y,Y,https://pililcr.weebly.com/tp98.html
120,99,99,刀說異數,刀說異數,b12,劇集介紹,N,N,N,https://pililcr.weebly.com/tp99.html
121,100,100,東離劍遊紀,東離劍遊紀,b13,劇集介紹,N,N,N,https://pililcr.weebly.com/tp100.html
50,101,101,琉璃仙境,展偶介紹-素還真(轟掣版),b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp101.html
51,102,102,琉璃仙境,展偶介紹-葉小釵,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp102.html
52,103,103,琉璃仙境,展偶介紹-亂世狂刀,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp103.html
53,104,104,琉璃仙境,展偶介紹-劍君十二恨,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp104.html
54,105,105,琉璃仙境,展偶介紹-素續緣,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp105.html
55,106,106,琉璃仙境,展偶介紹-一線生,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp106.html
56,107,107,琉璃仙境,展偶介紹-秦假仙,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp107.html
57,108,108,琉璃仙境,展偶介紹-無衣師尹,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp108.html
58,109,109,琉璃仙境,展偶介紹-解鋒鏑,b1,展偶介紹,N,Y,Y,https://pililcr.weebly.com/tp109.html
59,174,174,等活地顎,展偶介紹-南宮取、等活天羅,b5,展偶介紹,N,Y,N,https://pililcr.weebly.com/tp174.html
175,110,110,刀說異數,展偶介紹-南宮取、等活天羅,b12,展偶介紹,N,N,Y,https://pililcr.weebly.com/tp110.html
122,239,130,東離劍遊紀,展偶介紹-凜雪鴉,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp239.html
123,240,131,東離劍遊紀,展偶介紹-殤不患,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp240.html
124,241,132,東離劍遊紀,展偶介紹-浪巫謠,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp241.html
